id,nom
1,Aménagement
2,Arts et musique
3,Communication
4,Droit
5,Économie et politique
6,Enseignement et sciences de l'éducation
19,Environnement et développement durable
7,Lettres et langues
15,Préparation aux études universitaires
16,Programmes individualisés
8,Sciences de l'administration et gestion
17,Sciences de la santé
18,Sciences de la vie
9,Sciences humaines
10,Sciences pures et sciences appliquées
11,Sciences sociales
12,Sciences sociales : intervention
13,Technologies de l'information (TIC)
14,Théologie et sciences des religions
