codeSad,nom
010A00,Cabinet du recteur
010C00,"Vice-rectorat à la recherche, à la découverte, à la création et à l'innovation"
010D00,Vice-rectorat aux ressources humaines et à la planification
010D01,Vice-rectorat aux ressources humaines et aux affaires professorales - Dir
010E00,Vice-rectorat aux finances et aux infrastructures
010F00,Vice-rectorat aux affaires étudiantes et aux études
010H00,Vice-rectorat aux partenariats communautaires et internationaux
010H01,Vice-rectorat aux partenariats communautaires et internationaux
010J01,Vice-rectorat aux relations avec les diplômés et à la philanthropie
015A00,Normes & intégrité
015A01,Bureau de la conduite responsable en recherche
022A00,Services de soutien à l'enseignement
022A01,Services de soutien à l'enseignement - Direction
026B01,IVADO - Administration
062A00,Service de l'admission  - Direction
062A02,Service de l'admission - Analyse des candidatures
062C00,Service de l'admission et du recrutement
100A01,Secrétariat général - Division des instances
100D00,Secrétariat général - Division des affaires juridiques
100E00,Secrétariat général - Division gestion de documents et des archives
200C00,Bureau des communications et des relations publiques - Protocole et relations publiques
200F00,Bureau des communications et des relations publiques - Web et communications institutionnelles
320D00,Bureau du registraire - Académique - soutien aux étudiants
330C00,Direction des bibliothèques - Direction des technologies
330D00,Direction des bibliothèques - Traitement documentaire et métadonnées
330D01,Direction des bibliothèques - Catalogage
330E01,Bibliothèques des lettres et sciences humaines 1
330G04,Bibliothèque de musique
330G06,Bibliothèque du campus Laval
330I04,Bibliothèque paramédicale
330I07,Bibliothèque de mathématiques et informatique
350E04,TI - Architecture sécurité
350E05,TI - Architecture de l'infrastructure
350H01,TI - Solution affaires institutionnelles
350H03,TI - Solution affaires institutionnelles  - Gestion académique
350H05,TI - Solution affaires institutionnelles  - Technopédagogique
350H06,TI - Solution affaires institutionnelles  - Web et Portail
350I03,TI - Explotation et soutien aux Utilisateurs - Exploitation des communications
350I05,TI - Explotation et soutien aux Utilisateurs - Services techniques
350I06,TI - Exploitation et soutien aux utilisateurs - Centre de services - Soutien informatique
350I10,TI - Exploitation et soutien aux utilisateurs - Bibliothèques
350I14,TI - ESU - Centre de services - Soutien distant
373D01,Direction des ressources humaines - Rémunération - Direction
373I00,Direction des ressources humaines - Centre des services administratifs
420B00,BDRD - Direction développement philanthropique
420B03,BDRD - Direction développement philanthropique - Campagnes annuelles
420C00,BDRD - Direction relations avec les diplômés
456C04,Résidences - Vie étudiante
457B00,Direction des immeubles - Division administration
457J12,Direction des immeubles - Services à la communauté - Support Régie
458C01,Direction des projets majeurs d'infrastructures - MIL Phase 2 - Projets de réaffectation - Équipe
503A00,Direction des affaires internationales
504A00,Centre d'études et de recherches internationales
601A00,Bureau de recherche institutionnelle
604A00,Centre interuniversitaire de recherche en économie quantitative (CIREQ)
605A00,Groupe de recherche sur l'inadaptation psychosociale chez l'enfant (GRIP)
606A00,Centre de recherches mathématiques (CRM)
606A01,Centre de recherches mathématiques (CRM) - Soutien
607A00,"Centre interuniversitaire de recherche - Réseaux d'entreprise, logistique, transport (CIRRELT)"
609A00,Centre international de criminologie comparée
620A00,Bureau Recherche - Développement - Valorisation (BRDV) - Administration
620A01,Bureau Recherche - Développement - Valorisation (BRDV) - Recherche subventionné
620B00,Bureau Recherche – Développement – Valorisation (BRDV) - Centre d'expertise numérique pour la recherche (CEN-R) - Production numérique
620B01,BRDV - Centre d'expertise numérique - recherche (CENR) - Recherche et développement numérique
620E00,Bureau Recherche - Développement - Valorisation (BRDV) - Érudit
