idsadvr,sexe,langues.nom,langues.medium,affiliations.fonction.codeSad,affiliations.fonction.nom,formations.diplome,formations.annee,formations.institutions.nom,formations.institutions.paysNom,formations.institutions.paysCode
in13580,M,,,42001,Professeur titulaire,,,,,
in13580,M,,,42032,Professeur associé,,,,,
in13581,M,Anglais,Écrit,42001,Professeur titulaire,doctorat IIIème cycle,1984,École Pratique des Hautes Études en Sciences Sociales,France,FR
in13581,M,Anglais,Écrit,42001,Professeur titulaire,doctorat IIIème cycle,1984,École Pratique des Hautes Études en Sciences Sociales,France,FR
in13581,M,Français,Écrit,42001,Professeur titulaire,doctorat IIIème cycle,1984,École Pratique des Hautes Études en Sciences Sociales,France,FR
in13581,M,Français,Écrit,42001,Professeur titulaire,doctorat IIIème cycle,1984,École Pratique des Hautes Études en Sciences Sociales,France,FR
in13581,M,Anglais,Oral,42001,Professeur titulaire,doctorat IIIème cycle,1984,École Pratique des Hautes Études en Sciences Sociales,France,FR
in13581,M,Anglais,Oral,42001,Professeur titulaire,doctorat IIIème cycle,1984,École Pratique des Hautes Études en Sciences Sociales,France,FR
in13581,M,Français,Oral,42001,Professeur titulaire,doctorat IIIème cycle,1984,École Pratique des Hautes Études en Sciences Sociales,France,FR
in13581,M,Français,Oral,42001,Professeur titulaire,doctorat IIIème cycle,1984,École Pratique des Hautes Études en Sciences Sociales,France,FR
in13581,M,Grec moderne (après 1453),Oral,42001,Professeur titulaire,doctorat IIIème cycle,1984,École Pratique des Hautes Études en Sciences Sociales,France,FR
in13581,M,Grec moderne (après 1453),Oral,42001,Professeur titulaire,doctorat IIIème cycle,1984,École Pratique des Hautes Études en Sciences Sociales,France,FR
in13584,M,,,42032,Professeur associé,,,,,
in13585,F,,,42001,Professeure titulaire,,,,,
in13586,M,,,42001,Professeur titulaire,Ph. D,1984,Université d'Ottawa,Canada,CA
in13587,M,,,42001,Professeur titulaire,,,,,
in13589,M,Français,Écrit,42099,Professeur émérite,,,,,
in13589,M,Français,Oral,42099,Professeur émérite,,,,,
in13590,M,Anglais,Écrit,42001,Professeur titulaire,Ph.D.,1992,University of Denver,États-Unis,US
in13590,M,Français,Écrit,42001,Professeur titulaire,Ph.D.,1992,University of Denver,États-Unis,US
in13590,M,Anglais,Oral,42001,Professeur titulaire,Ph.D.,1992,University of Denver,États-Unis,US
in13590,M,Français,Oral,42001,Professeur titulaire,Ph.D.,1992,University of Denver,États-Unis,US
in13591,M,Anglais,Écrit,42001,Professeur titulaire,Baccalauréat en cinéma et histoire de l’art,1975,Université Laval,Canada,CA
in13591,M,Anglais,Écrit,42001,Professeur titulaire,Baccalauréat en cinéma et histoire de l’art,1975,Université Laval,Canada,CA
in13591,M,Anglais,Écrit,42001,Professeur titulaire,Équivalence de maîtrise,1979,Université Paris 3,France,FR
in13591,M,Anglais,Écrit,42001,Professeur titulaire,Équivalence de D.E.A.,1980,Université Paris 3,France,FR
in13591,M,Anglais,Écrit,42001,Professeur titulaire,Doctorat en cinéma,1983,Université Paris 3,France,FR
in13591,M,Français,Écrit,42001,Professeur titulaire,Baccalauréat en cinéma et histoire de l’art,1975,Université Laval,Canada,CA
in13591,M,Français,Écrit,42001,Professeur titulaire,Baccalauréat en cinéma et histoire de l’art,1975,Université Laval,Canada,CA
in13591,M,Français,Écrit,42001,Professeur titulaire,Équivalence de maîtrise,1979,Université Paris 3,France,FR
in13591,M,Français,Écrit,42001,Professeur titulaire,Équivalence de D.E.A.,1980,Université Paris 3,France,FR
in13591,M,Français,Écrit,42001,Professeur titulaire,Doctorat en cinéma,1983,Université Paris 3,France,FR
in13591,M,Anglais,Oral,42001,Professeur titulaire,Baccalauréat en cinéma et histoire de l’art,1975,Université Laval,Canada,CA
in13591,M,Anglais,Oral,42001,Professeur titulaire,Baccalauréat en cinéma et histoire de l’art,1975,Université Laval,Canada,CA
in13591,M,Anglais,Oral,42001,Professeur titulaire,Équivalence de maîtrise,1979,Université Paris 3,France,FR
in13591,M,Anglais,Oral,42001,Professeur titulaire,Équivalence de D.E.A.,1980,Université Paris 3,France,FR
in13591,M,Anglais,Oral,42001,Professeur titulaire,Doctorat en cinéma,1983,Université Paris 3,France,FR
in13591,M,Français,Oral,42001,Professeur titulaire,Baccalauréat en cinéma et histoire de l’art,1975,Université Laval,Canada,CA
in13591,M,Français,Oral,42001,Professeur titulaire,Baccalauréat en cinéma et histoire de l’art,1975,Université Laval,Canada,CA
in13591,M,Français,Oral,42001,Professeur titulaire,Équivalence de maîtrise,1979,Université Paris 3,France,FR
in13591,M,Français,Oral,42001,Professeur titulaire,Équivalence de D.E.A.,1980,Université Paris 3,France,FR
in13591,M,Français,Oral,42001,Professeur titulaire,Doctorat en cinéma,1983,Université Paris 3,France,FR
in13592,M,Français,Écrit,42001,Professeur titulaire,,,,,
in13592,M,Français,Oral,42001,Professeur titulaire,,,,,
in13593,M,Anglais,Écrit,42032,Professeur associé,Doctorat,1981,Université de Montréal,Canada,CA
in13593,M,Anglais,Écrit,42032,Professeur associé,Maîtrise,1978,Université de Montréal,Canada,CA
in13593,M,Anglais,Écrit,42032,Professeur associé,Baccalauréat,1977,Université de Montréal,Canada,CA
in13593,M,Anglais,Écrit,42099,Professeur émérite,Doctorat,1981,Université de Montréal,Canada,CA
in13593,M,Anglais,Écrit,42099,Professeur émérite,Maîtrise,1978,Université de Montréal,Canada,CA
in13593,M,Anglais,Écrit,42099,Professeur émérite,Baccalauréat,1977,Université de Montréal,Canada,CA
in13593,M,Français,Écrit,42032,Professeur associé,Doctorat,1981,Université de Montréal,Canada,CA
in13593,M,Français,Écrit,42032,Professeur associé,Maîtrise,1978,Université de Montréal,Canada,CA
in13593,M,Français,Écrit,42032,Professeur associé,Baccalauréat,1977,Université de Montréal,Canada,CA
in13593,M,Français,Écrit,42099,Professeur émérite,Doctorat,1981,Université de Montréal,Canada,CA
in13593,M,Français,Écrit,42099,Professeur émérite,Maîtrise,1978,Université de Montréal,Canada,CA
in13593,M,Français,Écrit,42099,Professeur émérite,Baccalauréat,1977,Université de Montréal,Canada,CA
in13593,M,Anglais,Oral,42032,Professeur associé,Doctorat,1981,Université de Montréal,Canada,CA
in13593,M,Anglais,Oral,42032,Professeur associé,Maîtrise,1978,Université de Montréal,Canada,CA
in13593,M,Anglais,Oral,42032,Professeur associé,Baccalauréat,1977,Université de Montréal,Canada,CA
in13593,M,Anglais,Oral,42099,Professeur émérite,Doctorat,1981,Université de Montréal,Canada,CA
in13593,M,Anglais,Oral,42099,Professeur émérite,Maîtrise,1978,Université de Montréal,Canada,CA
in13593,M,Anglais,Oral,42099,Professeur émérite,Baccalauréat,1977,Université de Montréal,Canada,CA
in13593,M,Français,Oral,42032,Professeur associé,Doctorat,1981,Université de Montréal,Canada,CA
in13593,M,Français,Oral,42032,Professeur associé,Maîtrise,1978,Université de Montréal,Canada,CA
in13593,M,Français,Oral,42032,Professeur associé,Baccalauréat,1977,Université de Montréal,Canada,CA
in13593,M,Français,Oral,42099,Professeur émérite,Doctorat,1981,Université de Montréal,Canada,CA
in13593,M,Français,Oral,42099,Professeur émérite,Maîtrise,1978,Université de Montréal,Canada,CA
in13593,M,Français,Oral,42099,Professeur émérite,Baccalauréat,1977,Université de Montréal,Canada,CA
in13594,M,Français,Écrit,42099,Professeur émérite,"Ph. D,",1973,Carnegie–Mellon University,États-Unis,US
in13594,M,Français,Écrit,42099,Professeur émérite,M.Sc.,1971,Carnegie–Mellon University,États-Unis,US
in13594,M,Français,Écrit,42099,Professeur émérite,M.A.,1968,Université de Montréal,Canada,CA
in13594,M,Français,Écrit,42099,Professeur émérite,B.Sc.,1966,Université de Montréal,Canada,CA
in13594,M,Français,Oral,42099,Professeur émérite,"Ph. D,",1973,Carnegie–Mellon University,États-Unis,US
in13594,M,Français,Oral,42099,Professeur émérite,M.Sc.,1971,Carnegie–Mellon University,États-Unis,US
in13594,M,Français,Oral,42099,Professeur émérite,M.A.,1968,Université de Montréal,Canada,CA
in13594,M,Français,Oral,42099,Professeur émérite,B.Sc.,1966,Université de Montréal,Canada,CA
in13595,M,,,42032,Professeur associé,"Ph.D. Santé communautaire, Toxicologie de l'environnement",1989,Université de Montréal,Canada,CA
in13596,M,Français,Écrit,42001,Professeur titulaire,,,,,
in13596,M,Français,Oral,42001,Professeur titulaire,,,,,
in13597,F,Français,Écrit,42001,Professeure titulaire,,,,,
in13597,F,Français,Oral,42001,Professeure titulaire,,,,,
in13598,M,,,42001,Professeur titulaire,,,,,
in13599,M,Anglais,Écrit,42001,Professeur titulaire,Doctorat,1991,Université McGill,Canada,CA
in13599,M,Anglais,Écrit,42001,Professeur titulaire,Maîtrise,1988,Université McGill,Canada,CA
in13599,M,Français,Écrit,42001,Professeur titulaire,Doctorat,1991,Université McGill,Canada,CA
in13599,M,Français,Écrit,42001,Professeur titulaire,Maîtrise,1988,Université McGill,Canada,CA
in13599,M,Anglais,Oral,42001,Professeur titulaire,Doctorat,1991,Université McGill,Canada,CA
