affiliations.faculte.nom,expertise.disciplines.nom,count
Faculté de droit,Administration de la santé,1
Faculté de droit,Administration publique,2
Faculté de droit,Communication,3
Faculté de droit,Criminologie,1
Faculté de droit,Droit,71
Faculté de droit,Eau et environnement,1
Faculté de droit,Environnement et développement durable,1
Faculté de droit,Finance,1
Faculté de droit,Histoire,2
Faculté de droit,Informatique,1
Faculté de droit,Médecine préventive,1
Faculté de droit,Obstétrique et gynécologie,1
Faculté de droit,Santé publique,1
Faculté de droit,Science politique,3
Faculté de droit,Sociologie,6
Faculté de droit,Économie,5
Faculté de l'aménagement,Aménagement,46
Faculté de l'aménagement,Anthropologie,1
Faculté de l'aménagement,Architecture,28
Faculté de l'aménagement,Architecture de paysage,9
Faculté de l'aménagement,Arts visuels et médiatiques,7
Faculté de l'aménagement,Communication,3
Faculté de l'aménagement,Design,21
Faculté de l'aménagement,Design de jeux,1
Faculté de l'aménagement,Design d’intérieur,5
Faculté de l'aménagement,Design industriel,5
Faculté de l'aménagement,Eau et environnement,3
Faculté de l'aménagement,Enseignement des arts,1
Faculté de l'aménagement,Environnement et développement durable,11
Faculté de l'aménagement,Géographie humaine,3
Faculté de l'aménagement,Gérontologie,1
Faculté de l'aménagement,Histoire,4
Faculté de l'aménagement,Histoire des arts,4
Faculté de l'aménagement,Informatique,5
Faculté de l'aménagement,Journalisme,1
Faculté de l'aménagement,Philosophie,1
Faculté de l'aménagement,Santé publique,1
Faculté de l'aménagement,Sociologie,6
Faculté de l'aménagement,Sociologie de l’art,3
Faculté de l'aménagement,Sémiologie,1
Faculté de l'aménagement,Urbanisme,23
Faculté de l'aménagement,Économie,1
Faculté de l'aménagement,Éducation,2
Faculté de l'aménagement,Études du jeu vidéo,1
Faculté de l'aménagement,Études féministes,1
Faculté de l'aménagement,Études urbaines,16
Faculté de l'éducation permanente,Anthropologie,1
Faculté de l'éducation permanente,Criminologie,1
Faculté de l'éducation permanente,Gérontologie,1
Faculté de l'éducation permanente,Médecine préventive,1
Faculté de l'éducation permanente,Psychologie,1
Faculté de l'éducation permanente,Psychoéducation,1
Faculté de l'éducation permanente,Sociologie,1
