codeSad,nom
4604,Administration scolaire
4607,Andragogie
9902,Bureau du registraire - Admission
9903,Bureau du registraire - Inscription
0390,Centre d'études asiatiques
03Z2,Centre d'études classiques
03Z3,Centre d'études et de recherches internationales
03Z1,Centre d'études médiévales
4602,Centre de formation initiale des maîtres
9998,CRS Entente interuniversitaire
2302,Département d'administration de la santé
4620,Département d'administration et fondements de l'éducation
2307,Département d'anesthésiologie et de médecine de la douleur
0304,Département d'anthropologie
2317,Département d'épidémiologie
0322,Département d'études anglaises
0337,Département d'histoire
0338,Département d'histoire de l'art et d'études cinématographiques
0340,Département d'informatique et de recherche opérationnelle
2331,Département d'obstétrique-gynécologie
2332,Département d'ophtalmologie
0308,Département de biochimie
2310,Département de biochimie et médecine moléculaire
2604,Département de biomédecine vétérinaire
0310,Département de chimie
2313,Département de chirurgie
0311,Département de communication
0316,Département de démographie
0610,Département de dentisterie de restauration
4615,Département de didactique
0331,Département de géographie
0334,Département de géologie
4304,"Département de gestion, d’évaluation et de politique de santé"
0343,Département de linguistique et de traduction
0320,Département de littératures et de langues du monde
0346,Département de mathématiques et de statistique
2319,Département de médecine
2323,Département de médecine de famille et de médecine d'urgence
2325,Département de médecine sociale et préventive
4310,Département de médecine sociale et préventive
2328,"Département de microbiologie, infectiologie et immunologie"
2353,Département de neurosciences
2316,Département de nutrition
2334,Département de pathologie
2304,Département de pathologie et biologie cellulaire
2610,Département de pathologie et microbiologie
2337,Département de pédiatrie
2340,Département de pharmacologie
2341,Département de pharmacologie et physiologie
0349,Département de philosophie
2343,Département de physiologie moléculaire et intégrative
0352,Département de physique
2346,Département de psychiatrie et d’addictologie
0358,Département de psychologie
4630,Département de psychopédagogie et d'andragogie 
2352,"Département de radiologie, radio-oncologie et médecine nucléaire"
0607,Département de santé buccale
2320,Département de santé environnementale et santé au travail
4307,Département de santé environnementale et santé au travail
0370,Département de science politique
0364,Département de sciences biologiques
2607,Département de sciences cliniques
0367,Département de sciences économiques
0376,Département de sociologie
0619,Département de stomatologie
0325,Département des littératures de langue française
0319,Département des littératures et langues modernes
0801,Direction  de l'École de diététique et nutrition
3301,Direction de l'École d'optométrie
4101,Direction de l'École de réadaptation
4301,Direction de l'École de santé publique
0341,Direction de l'enseignement de service en informatique (DESI)
9901,Direction de l'Université de Montréal
1101,Direction de la Faculté de droit
0101,Direction de la Faculté de l'aménagement
1601,Direction de la Faculté de l'éducation permanente
2301,Direction de la Faculté de médecine
0601,Direction de la Faculté de médecine dentaire
2601,Direction de la Faculté de médecine vétérinaire
2801,Direction de la Faculte de musique
3601,Direction de la Faculté de pharmacie
3101,Direction de la Faculté de sciences infirmières
4801,Direction de la Faculté de théologie et de sciences des religions
0301,Direction de la Faculté des arts et des sciences
1801,Direction de la Faculté des études supérieures et postdoctorales
4601,Direction de la Faculté des sciences de l'éducation
3801,Direction de Polytechnique Montréal
2101,Direction des HEC Montréal
1301,Direction du Département de kinésiologie
0104,École d'architecture
0105,École d'architecture de paysage
2333,École d'orthophonie et d'audiologie
0107,École d'urbanisme
0108,École d'urbanisme et d'architecture de paysage 
0307,École de bibliothéconomie et des sciences de l'information
0313,École de criminologie
0106,École de design
2315,École de kinésiologie et des sciences de l’activité physique
0355,École de psychoéducation
2349,École de réadaptation
0361,École de relations industrielles
0373,École de travail social
4610,Éducation comparée et fondements de l'éducation
4613,Éducation préscolaire et enseignement primaire
4616,Enseignement secondaire et collégial
0328,Études classiques et médiévales
7116,Faculté de l'aménagement - Faculté des arts et des sciences - Faculté de l'éducation permanente
7216,Faculté de l'éducation permanente - Faculté de médecine
7416,Faculté de l'éducation permanente - Faculté de médecine - Éducation physique
7516,Faculté de l'éducation permanente - Faculté des sciences infirmières - Faculté de médecine
7616,Faculté des arts et des sciences  - Faculté de l'éducation permanente - Faculté de médecine
7316,Faculté des arts et des sciences - Faculté de l'éducation permanente
7716,Faculté des arts et des sciences - Faculté de l'éducation permanente - Faculté de théologie et de sciences des religions
7046,Faculté des arts et des sciences - Faculté des sciences de l'éducation
0379,Histoire et sociologie des sciences
0330,Institut d'études religieuses
0345,Liste externe
0344,Littérature comparée
2322,Médecine et chirurgie expérimentale
4619,Mesure et évaluation
4622,Orthopédagogie
2318,Programmes de génie biomédical
1602,Promotion culturelle
4625,Technologie éducationnelle
