codeSad,nom
13,Département de kinésiologie
33,École d'optométrie
08,École de diététique et nutrition
41,École de réadaptation
43,École de santé publique
11,Faculté de droit
01,Faculté de l'aménagement
71,Faculté de l'aménagement - Faculté des arts et sciences - Faculté de l'éducation permanente
16,Faculté de l'éducation permanente
72,Faculté de l'éducation permanente - Faculté de médecine
74,Faculté de l'éducation permanente - Faculté de médecine - Département de kinésiologie
75,Faculté de l'éducation permanente - Faculté des sciences infirmières - Faculté de médecine
23,Faculté de médecine
06,Faculté de médecine dentaire
26,Faculté de médecine vétérinaire
28,Faculté de musique
36,Faculté de pharmacie
48,Faculté de théologie et de sciences des religions
03,Faculté des arts et des sciences
76,Faculté des arts et sciences  - Faculté de l'éducation permanente - Faculté de médecine
73,Faculté des arts et sciences - Faculté de l'éducation permanente
77,Faculté des arts et sciences - Faculté de l'éducation permanente - Faculté de théologie et de sciences des religions
70,Faculté des arts et sciences - Faculté des sciences de l'éducation
18,Faculté des études supérieures et postdoctorales
46,Faculté des sciences de l'éducation
31,Faculté des sciences infirmières
21,HEC Montréal
38,Polytechnique Montréal
99,Université de Montréal
