codeSad,nomM,nomF
01001,Recteur,Rectrice
01100,V.R. Adj. Finances,V.R. Adj. Finances
01101,V.R. Adj. Adm et dév. durable,V.R. Adj. Adm et dév. durable
01102,Vice-recteur adjoint aux affaires étudiantes,Vice-rectrice adjointe aux affaires étudiantes
01103,V.R. Dev. acad. & trans. inst.,V.R. Dev. acad. & trans. inst.
01104,V-Rect. rech décou créa inno,"Vice-rectrice à la recherche, à la découverte, à la création et à l'innovation"
01105,VR adj. affaires professorales,VR adj. affaires professorales
01168,Directeur des Finances,Directrice des Finances
01169,Provost et Vice-recteur,Provost et Vice-rectrice
01170,Vice-Provost et Vice-recteur,Vice-Provost et Vice-rectrice
01171,Dirigeant principal TI,Dirigeante principale TI
01300,Secrétaire général,Secretaire générale
01301,V.R. (Vie Etudiante),V.R. (Vie Etudiante)
01302,Vice-recteur aux relations avec les diplômés et à la philanthropie,Vice-rectrice aux relations avec les diplômés et à la philanthropie
01303,V.R. (Resp. Etudes Sup.),V.R. (Resp. Etudes Sup.)
01304,V.R. Adj. (Adm. Finances),V.R. Adj. (Adm. Finances)
01305,V.R. Adj. (Affaires Inst),V.R. Adj. (Affaires Inst)
01306,Vice-recteur adjoint Admin.,Vice-rectrice adjointe Admin.
01307,Vice-recteur aux ressources humaines et à la planification,Vice-rectrice aux ressources humaines et à la planification
01308,Vice-recteur Fin. et Infras.,Vice-rectrice Fin. et Infras.
01309,Vice-recteur Rech. et rel.int.,Vice-rectrice Rech. et rel.int
01310,V.R. Affaires academiques,V.R. Affaires academiques
01311,V-rect. Aff.étud. et dév.dur.,V-rect. Aff.étud. et dév.dur.
01312,V-rect. adj. C.Laval-Dév.stra.,V-rect. adj. C.Laval-Dév.stra.
01313,Vice-recteur adjoint aux études de 1er cycle et à la formation continue,Vice-rectrice adjointe aux études de 1er cycle et à la formation continue
01314,V-rect. adj. Rel. Internat.,V-rect. adj. Rel. Internat.
01315,V-rect. adj. Études sup.,V-rect. adj. Études sup.
01316,V-rect. Aff. acad.-Rect.suppl.,V-rect. Aff. acad.-Rect.suppl.
01317,V.R.projets strat-partenariats,V.R.projets strat-partenariats
01318,Vice-recteur aux affaires internationales et à la Francophonie,Vice-rectrice aux affaires internationales et à la Francophonie
01319,"Vice-recteur à la recherche, à la découverte, à la création et à l'innovation","Vice-rectrice à la recherche, à la découverte, à la création et à l'innovation"
01320,VR aux études,VR aux études
01321,VR gr. proj. acad.,VR gr. proj. acad.
01322,"Vice-recteur,nouv.campus.dével","Vice-rectrice,nouv.campus.dév."
01392,Ce-Recteur Aff.Publ-Dev,Ce-Recteur Aff.Publ-Dev
01393,Vice-Recteur (Planif.),Vice-Rectrice (Planif.)
01394,Vice-Recteur Ens.Form.,Vice-Rectrice Ens.Form.
01395,Vice-Recteur (Aff.Publ.),Vice-Rectrice (Aff.Publ.)
01396,Vice-Recteur Aff.Publ.,Vice-Rectrice Aff.Publ.
01397,Vice-Recteur R.Humaines,Vice-Rectrice R.Humaines
01398,Vice-Recteur Etude-Rech,Vice-Rectrice Etude-Rech
01399,Vice-Recteur administ.,Vice-Rectrice administ.
01402,Vice-Recteur (Etudes),Vice-Rectrice (Etudes)
01403,Vice-recteur à la recherche,Vice-rectrice à la recherche
01404,Vice-Rect. Adm & Finances,Vice-Rect. Adm & Finances
01405,Vice-recteur adjoint Études,Vice-rectrice adjointe Études
01407,Vice-recteur Executif,Vice-rectrice Executive
01408,Vice-Recteur Adj.T.I.C.,Vice-Rectrice Adj.T.I.C.
01409,Vice-Recteur Exec. Adj,Vice-Rectrice Exec. Adj
01410,Vice-Recteur (R.Humaines),Vice-Rectrice (R.Humaines)
01411,Vice-Recteur Adj.Rh.Ges,Vice-Rectrice Adj.Rh.Ges
01412,Vice-Recteur Adj. Recherche,Vice-Rectrice Adj. Recherche
01413,Vice-Recteur Adj.(Ens.),Vice-Rectrice Adj.(Ens.)
01414,Registraire,Registraire
01415,Vice-Recteur Adj.(Ens.),Vice-Rectrice Adj.(Ens.)
01416,Vice-Recteur (Etudes),Vice-Rectrice (Etudes)
01417,Vice-Recteur Adj.(Rech.),Vice-Rectrice Adj.(Rech.)
01418,V.R. Adj. Chef De Cabinet,V.R. Adj. Chef De Cabinet
01419,Vice-Recteur Adj.Aff.Prof.,Vice-Rectrice Adj.Aff.Prof.
01420,Vr Adj.(Syst.& Tech. Info),Vr Adj.(Syst.& Tech. Info)
01421,Vr Adj.Etudes Superieures,Vr Adj.Etudes Superieures
01422,Vr Adj. Com. & Aff.Instit,Vr Adj. Com. & Aff.Instit
01423,Vr Adj. Vie Etudiante,Vr Adj. Vie Etudiante
01424,Vr Inter Et Rel Institut,Vr Inter Et Rel Institut
01425,Vice-Rect. - Rel. Intern.,Vice-Rect. - Rel. Intern.
01426,Vice-recteur adj. Opé.  Conc.,Vice-rectrice adj. Opé.  Conc.
01427,V-rect. adj.prom.qualité,Vice-rectrice adjointe à la promotion de la qualité
01500,Conseiller spécial rel. inst.,Conseillère spéciale rel. inst
01501,Président comité du RRUM,Présidente comité du RRUM
01502,Recteur désigné,Rectrice désignée
01503,V-rect. Planif & Comm. strat.,V-rect. Planif & Comm. strat.
01504,V-rect. Ress. hum.& Aff. Prof,V-rect. Ress. hum.& Aff. Prof
01505,V-rect. Aff. Int & part. comm.,V-rect. Aff. Int & part. comm.
10001,Recteur,Rectrice
10002,Vice-recteur,Vice-rectrice
10010,Recteur,Rectrice
11001,Doyen,Doyenne
11003,Admin.exerç. fonct.doyen,Admin.exerç. fonct.doyenne
11005,V.doyen exerç.fonct.doyen,V.doyenne exerç.fonct.doyenne
11006,"Directeur, École d'optométrie","Directrice, École d'optométrie"
11007,"Directeur, Dépt. kinésiologie","Directrice, Dépt. kinésiologie"
11350,Directeur des services,Directrice des services
11680,Directeur des finances,Directrice des finances
11690,Provost et vice-recteur,Provost et vice-rectrice
11700,Vice-provost et vice-recteur,Vice-provost et vice-rectrice
12001,Vice-doyen,Vice-doyenne
12002,Vice-doyen aux études,Vice-doyenne aux études
12003,Vice-doyen/ne (gestion),Vice-doyen/ne (gestion)
12004,Vice-doyen à la recherche,Vice-doyenne à la recherche
12005,Vice-doyen (aff.acad.),Vice-doyenne (aff.acad.)
12006,Vice-doyen (coord.dével.),Vice-doyenne (coord.dével.)
12007,Vice-doyen recherche et développement international,Vice-doyenne recherche et développement international
