id,noms.codeLangue,noms.nom
1,fre,Autre structure de recherche affiliée
1,eng,Other affiliated research structure
3,fre,Centre de recherche hospitalier
3,eng,Hospital research centre
4,fre,Centre facultaire
4,eng,Faculty centre
5,fre,Centre institutionnel
5,eng,Institutional centre
6,fre,Chaire de recherche contractuelle
6,eng,Contract Research Chair
7,fre,Chaire de recherche de l’UdeM
7,eng,UdeM Research Chair
8,fre,Chaire de recherche du Canada
8,eng,Canada Research Chair
9,fre,Chaire de recherche philanthropique
9,eng,Philanthropic Chair
11,fre,Consortium de recherche de l’UdeM
11,eng,UdeM Research Consortium
12,fre,Établissement affilié à l’UdeM
12,eng,Institution affiliated to UdeM
10,fre,Plateforme
10,eng,Platform
14,fre,Unité de recherche facultaire
14,eng,Faculty research unit
